year,round,type,institute,academic_program,quota,seat_type,gender,opening_rank,closing_rank
2026,5,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,14576,16001
2026,5,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),32623,32623
2026,5,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,31431,36028
2026,5,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,74058,95769
2026,5,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,4381,4381
2026,5,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),15320,15320
2026,5,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,14507,15929
2026,5,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,6807,6807
2026,5,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,33757,35618
2026,5,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),83820,83820
2026,5,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,76039,90049
2026,5,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),213377,213377
2026,5,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,172908,202908
2026,5,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,17745,19225
2026,5,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,6834,7378
2026,5,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,9106,9445
2026,5,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),25677,25677
2026,5,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,20774,23752
2026,5,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),49731,49731
2026,5,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,49642,59095
2026,5,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,3672,3672
2026,5,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,3300,10973
2026,5,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,3882,4461
2026,5,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,17441,19158
2026,5,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),75635,75635
2026,5,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,48048,54705
2026,5,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),111614,111614
2026,5,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,78441,114987
2026,5,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),19858,19858
2026,5,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,11958,14487
2026,5,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,4650,5960
2026,5,GFTI,"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,10665,11485
2026,5,GFTI,"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),25928,25928
2026,5,GFTI,"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,22679,25183
2026,5,GFTI,"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),69408,69408
